n_arms,n_steps,optimistic_init,variant,environment_seed,final_avg_reward,total_regret
10,100,True,decay=0.9,20014,0.89,8.530111211399939
10,100,True,decay=0.9,20015,0.85,7.268888618703986
10,100,True,decay=0.9,20016,0.89,6.399725570398882
10,100,True,decay=0.9,20017,0.9,6.3855707810760585
10,100,True,decay=0.9,20018,0.83,12.793997786860102
10,100,True,decay=0.9,20019,0.78,8.321668476691919
10,100,True,decay=0.9,20020,0.85,6.490854804673118
10,100,True,decay=0.9,20021,0.84,7.75799393289509
10,100,True,decay=0.9,20022,0.7,10.644099370524739
10,100,True,decay=0.9,20023,0.87,7.997068563795524
10,100,True,decay=0.9,20024,0.87,8.218633281640598
10,100,True,decay=0.9,20025,0.7,5.750312269907801
10,100,True,decay=0.9,20026,0.86,5.581010670399935
10,100,True,decay=0.9,20027,0.27,22.729586873972064
10,100,True,decay=0.9,20028,0.9,7.564394986635206
10,100,True,decay=0.9,20029,0.9,8.207578287119695
10,100,True,decay=0.95,20000,0.49,35.55130307300502
10,100,True,decay=0.95,20001,0.88,9.273759489198188
10,100,True,decay=0.95,20002,0.89,8.215368147216648
10,100,True,decay=0.95,20003,0.55,28.736884075453993
10,100,True,decay=0.95,20004,0.7,11.146071493579683
10,100,True,decay=0.95,20005,0.91,8.838572356514481
10,100,True,decay=0.95,20006,0.32,53.930031928513664
10,100,True,decay=0.95,20007,0.9,8.807201185486322
10,100,True,decay=0.95,20008,0.83,11.590314173959175
10,100,True,decay=0.95,20009,0.85,6.488955039009188
10,100,True,decay=0.95,20010,0.9,6.950562962494131
10,100,True,decay=0.95,20011,0.63,28.20143600556681
10,100,True,decay=0.95,20012,0.91,9.547694586611806
10,100,True,decay=0.95,20013,0.54,17.18368247887053
10,100,True,decay=0.95,20014,0.89,8.75000719756976
10,100,True,decay=0.95,20015,0.83,6.581164133259604
10,100,True,decay=0.95,20016,0.89,6.399725570398882
10,100,True,decay=0.95,20017,0.9,6.5399226253961595
10,100,True,decay=0.95,20018,0.83,12.793997786860102
10,100,True,decay=0.95,20019,0.72,10.638764542937741
10,100,True,decay=0.95,20020,0.85,6.490854804673118
10,100,True,decay=0.95,20021,0.79,15.00174262839254
10,100,True,decay=0.95,20022,0.7,10.644099370524739
10,100,True,decay=0.95,20023,0.87,8.324941065778972
10,100,True,decay=0.95,20024,0.87,8.269899437691759
10,100,True,decay=0.95,20025,0.7,5.954064432680925
10,100,True,decay=0.95,20026,0.86,6.689821111441568
10,100,True,decay=0.95,20027,0.3,19.19862011719686
10,100,True,decay=0.95,20028,0.9,7.564394986635206
10,100,True,decay=0.95,20029,0.9,8.999484600428415
10,100,True,decay=0.99,20000,0.51,34.40608542260505
10,100,True,decay=0.99,20001,0.87,10.194947210622407
10,100,True,decay=0.99,20002,0.86,11.304975129294037
10,100,True,decay=0.99,20003,0.55,29.439985830320758
10,100,True,decay=0.99,20004,0.7,11.017937957724875
10,100,True,decay=0.99,20005,0.89,9.531379756769004
10,100,True,decay=0.99,20006,0.48,39.750511262615014
10,100,True,decay=0.99,20007,0.89,10.191577136131306
10,100,True,decay=0.99,20008,0.86,7.707945037839957
10,100,True,decay=0.99,20009,0.82,8.754250757930217
10,100,True,decay=0.99,20010,0.88,9.03535873504973
10,100,True,decay=0.99,20011,0.59,31.219253857126734
10,100,True,decay=0.99,20012,0.89,11.340056279228525
10,100,True,decay=0.99,20013,0.51,18.533876758464622
10,100,True,decay=0.99,20014,0.86,11.03518927413423
10,100,True,decay=0.99,20015,0.81,8.188097597973917
10,100,True,decay=0.99,20016,0.88,7.850057547826214
10,100,True,decay=0.99,20017,0.86,8.90086612058636
10,100,True,decay=0.99,20018,0.81,13.962595537113204
