suite,algorithm,environment_seed,final_avg_reward,total_regret
small-gap,epsgreedy optimistic decay=0.90,30016,0.5235,24.93398598661057
small-gap,epsgreedy optimistic decay=0.90,30017,0.496,34.64662175722379
small-gap,epsgreedy optimistic decay=0.90,30018,0.5045,32.80001040616712
small-gap,epsgreedy optimistic decay=0.90,30019,0.52,21.80596668280325
small-gap,epsgreedy optimistic decay=0.90,30020,0.5025,15.362826435220446
small-gap,epsgreedy optimistic decay=0.90,30021,0.4855,37.46451594437309
small-gap,epsgreedy optimistic decay=0.90,30022,0.504,28.205490810129085
small-gap,epsgreedy optimistic decay=0.90,30023,0.514,27.310609840489715
small-gap,epsgreedy optimistic decay=0.90,30024,0.501,31.488747072744005
small-gap,epsgreedy optimistic decay=0.90,30025,0.5045,28.932804529606248
small-gap,epsgreedy optimistic decay=0.90,30026,0.5085,33.55671679560385
small-gap,epsgreedy optimistic decay=0.90,30027,0.4965,26.197405664651487
small-gap,epsgreedy optimistic decay=0.90,30028,0.4785,24.7234834153748
small-gap,epsgreedy optimistic decay=0.90,30029,0.5015,25.02240125563513
small-gap,"thompson Beta(5,5)",30000,0.5155,30.51046053085893
small-gap,"thompson Beta(5,5)",30001,0.4945,30.403973338884658
small-gap,"thompson Beta(5,5)",30002,0.515,27.883491399402207
small-gap,"thompson Beta(5,5)",30003,0.492,29.33821164092127
small-gap,"thompson Beta(5,5)",30004,0.506,28.495267746247276
small-gap,"thompson Beta(5,5)",30005,0.5045,29.47909048871171
small-gap,"thompson Beta(5,5)",30006,0.4955,28.72654081253074
small-gap,"thompson Beta(5,5)",30007,0.498,31.829714446914902
small-gap,"thompson Beta(5,5)",30008,0.4835,29.974159239635625
small-gap,"thompson Beta(5,5)",30009,0.4985,28.432620604673904
small-gap,"thompson Beta(5,5)",30010,0.49,26.341765547525252
small-gap,"thompson Beta(5,5)",30011,0.4985,29.217079696198034
small-gap,"thompson Beta(5,5)",30012,0.5025,30.114430321642036
small-gap,"thompson Beta(5,5)",30013,0.4985,30.7229888249641
small-gap,"thompson Beta(5,5)",30014,0.493,27.000043977006403
small-gap,"thompson Beta(5,5)",30015,0.4905,33.67680011532151
small-gap,"thompson Beta(5,5)",30016,0.522,29.326808450343147
small-gap,"thompson Beta(5,5)",30017,0.501,27.638058629473676
small-gap,"thompson Beta(5,5)",30018,0.5055,30.528860203415686
small-gap,"thompson Beta(5,5)",30019,0.5165,31.04546802565136
small-gap,"thompson Beta(5,5)",30020,0.4975,28.23035248663166
small-gap,"thompson Beta(5,5)",30021,0.494,27.194213380072096
small-gap,"thompson Beta(5,5)",30022,0.506,28.284367127033942
small-gap,"thompson Beta(5,5)",30023,0.515,28.688015679682223
small-gap,"thompson Beta(5,5)",30024,0.4995,29.791233689863525
small-gap,"thompson Beta(5,5)",30025,0.507,26.85818198365979
small-gap,"thompson Beta(5,5)",30026,0.509,28.806820864709813
small-gap,"thompson Beta(5,5)",30027,0.495,29.082777344882793
small-gap,"thompson Beta(5,5)",30028,0.4785,28.2332686565371
small-gap,"thompson Beta(5,5)",30029,0.4975,28.779712716625227
small-gap,ucb(c=0.003),30000,0.518,24.520628634524858
