n_arms,n_steps,algorithm,environment_seed,final_avg_reward,total_regret
10,1000,ucb(c=0.003),20012,0.979,7.23729446598508
10,1000,ucb(c=0.003),20013,0.782,4.279532811756538
10,1000,ucb(c=0.003),20014,0.98,11.116270186708352
10,1000,ucb(c=0.003),20015,0.811,82.41028239845873
10,1000,ucb(c=0.003),20016,0.964,7.463312176860086
10,1000,ucb(c=0.003),20017,0.737,252.8586672378573
10,1000,ucb(c=0.003),20018,0.861,10.87486689550463
10,1000,ucb(c=0.003),20019,0.837,7.293924677581455
10,1000,ucb(c=0.003),20020,0.908,40.91828470662494
10,1000,ucb(c=0.003),20021,0.91,9.809850112784751
10,1000,ucb(c=0.003),20022,0.746,29.205073955334022
10,1000,ucb(c=0.003),20023,0.958,7.44097714681944
10,1000,ucb(c=0.003),20024,0.932,6.168698499572569
10,1000,ucb(c=0.003),20025,0.656,17.030199612052687
10,1000,ucb(c=0.003),20026,0.93,4.447384442734833
10,1000,ucb(c=0.003),20027,0.51,4.135748825872705
10,1000,ucb(c=0.003),20028,0.968,17.956856482113
10,1000,ucb(c=0.003),20029,0.969,8.02091636476824
10,10000,epsgreedy const,20000,0.8515,490.64810875448813
10,10000,epsgreedy const,20001,0.9121,473.7195861000784
10,10000,epsgreedy const,20002,0.9105,412.1941543736953
10,10000,epsgreedy const,20003,0.8269,409.0563008107595
10,10000,epsgreedy const,20004,0.7699,274.4297583938769
10,10000,epsgreedy const,20005,0.9582,377.0713538205785
10,10000,epsgreedy const,20006,0.8431,548.6124469922511
10,10000,epsgreedy const,20007,0.9445,417.3568182209835
10,10000,epsgreedy const,20008,0.8955,324.55733743155855
10,10000,epsgreedy const,20009,0.8639,619.2737031401667
10,10000,epsgreedy const,20010,0.9317,476.29128614391647
10,10000,epsgreedy const,20011,0.8283,552.6488328492256
10,10000,epsgreedy const,20012,0.9278,572.9540098245141
10,10000,epsgreedy const,20013,0.7643,414.99765321766387
10,10000,epsgreedy const,20014,0.9407,447.4668398536561
10,10000,epsgreedy const,20015,0.8624,411.3969852439052
10,10000,epsgreedy const,20016,0.9269,438.00083031074
10,10000,epsgreedy const,20017,0.9315,385.4815115010625
10,10000,epsgreedy const,20018,0.8238,469.4241527396659
10,10000,epsgreedy const,20019,0.804,407.21466358071797
10,10000,epsgreedy const,20020,0.9107,402.69213479703984
10,10000,epsgreedy const,20021,0.8811,484.26535160352097
10,10000,epsgreedy const,20022,0.7242,385.6671616060776
10,10000,epsgreedy const,20023,0.9299,412.5059329170384
10,10000,epsgreedy const,20024,0.8946,470.4559124940914
10,10000,epsgreedy const,20025,0.619,339.4677501431762
10,10000,epsgreedy const,20026,0.8733,578.706604787002
10,10000,epsgreedy const,20027,0.4986,199.55879064895552
10,10000,epsgreedy const,20028,0.9273,590.6997495421343
10,10000,epsgreedy const,20029,0.9219,558.5604666488939
10,10000,epsgreedy optimistic decay=0.90,20000,0.8335,680.1889322103252
10,10000,epsgreedy optimistic decay=0.90,20001,0.9293,275.34292947901815
10,10000,epsgreedy optimistic decay=0.90,20002,0.9509,8.215368147216648
10,10000,epsgreedy optimistic decay=0.90,20003,0.5985,2668.16977683062
10,10000,epsgreedy optimistic decay=0.90,20004,0.7716,224.27547536338668
10,10000,epsgreedy optimistic decay=0.90,20005,0.9953,8.838572356514481
10,10000,epsgreedy optimistic decay=0.90,20006,0.5665,3317.0306051741613
10,10000,epsgreedy optimistic decay=0.90,20007,0.9854,8.201327607169349
10,10000,epsgreedy optimistic decay=0.90,20008,0.924,33.05831747683031
10,10000,epsgreedy optimistic decay=0.90,20009,0.9269,6.488955039009188
10,10000,epsgreedy optimistic decay=0.90,20010,0.9818,7.243623906437091
10,10000,epsgreedy optimistic decay=0.90,20011,0.6422,2368.6098569195915
10,10000,epsgreedy optimistic decay=0.90,20012,0.9858,9.547694586611806
10,10000,epsgreedy optimistic decay=0.90,20013,0.6581,1484.9225160316005
10,10000,epsgreedy optimistic decay=0.90,20014,0.9863,8.530111211399939
10,10000,epsgreedy optimistic decay=0.90,20015,0.9017,7.763754719538151
10,10000,epsgreedy optimistic decay=0.90,20016,0.9699,6.399725570398882
10,10000,epsgreedy optimistic decay=0.90,20017,0.972,6.3855707810760585
10,10000,epsgreedy optimistic decay=0.90,20018,0.8712,12.793997786860102
10,10000,epsgreedy optimistic decay=0.90,20019,0.8428,8.321668476691919
10,10000,epsgreedy optimistic decay=0.90,20020,0.948,6.490854804673118
10,10000,epsgreedy optimistic decay=0.90,20021,0.927,7.75799393289509
10,10000,epsgreedy optimistic decay=0.90,20022,0.732,300.3965315803179
